year,mileage,insurance,gearbox_type,gearbox_health,motor_status,body_status,chassis_status,brand,car_age,yearly_mileage,has_insurance,price
2017.0,270000,5,دنده‌ای,سالم و پلمپ,سالم,تمام‌رنگ,سالم و پلمپ,peugeot_pars,9.0,27000.0,1,1070000000.0
2009.0,175000,0,دنده‌ای,سالم و پلمپ,سالم,رنگ‌شدگی در ۱ ناحیه,سالم و پلمپ,peugeot_206,17.0,9722.222222222223,0,870000000.0
2018.0,95000,8,دنده‌ای,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,peugeot_206,8.0,10555.555555555555,1,980000000.0
2024.0,20000,0,دنده‌ای,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,dena,2.0,6666.666666666667,0,2200000000.0
2017.0,210000,6,دنده‌ای,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,peugeot_pars,9.0,21000.0,1,1200000000.0
2023.0,72000,9,دنده‌ای,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,peugeot_pars,3.0,18000.0,1,1900000000.0
2018.0,149000,11,اتوماتیک,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,kia_cerato,8.0,16555.555555555555,1,3720000000.0
2017.0,110000,6,دنده‌ای,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,kia_cerato,9.0,11000.0,1,3070000000.0
2018.0,115000,6,اتوماتیک,سالم و پلمپ,سالم,خط و خش جزیی,سالم و پلمپ,peugeot_pars,8.0,12777.777777777777,1,1475000000.0
2016.0,106000,6,اتوماتیک,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,hyundai_santafe-ix45,10.0,9636.363636363636,1,6450000000.0
2017.0,236000,12,دنده‌ای,سالم و پلمپ,سالم,رنگ‌شدگی در ۲ ناحیه,سالم و پلمپ,pride_131,9.0,23600.0,1,1000.0
2023.0,39000,4,دنده‌ای,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,dena,3.0,9750.0,1,2170000000.0
2023.0,29500,10,دنده‌ای,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,mvm_x22,3.0,7375.0,1,2150000000.0
